Suggested Technical Committee,Designation ,Organization ,
Dr. Jitendra Sheetlani,Professor ,"Chameli Devi Group of Institutions, Indore",
Prof. (Dr). Hardeep Singh,Professor & Dean,"Amritsar Group of Colleges, Amritsar, Punjab",
Dr Rashmi Soni,"Professor, Area Chair Person Finance�","KJ Somaiya Institute of Management Studies, Mumbai",
Dr. P. Susheelkumar Sreedharan ,"Professor,  ECE","CMR Institute of Technology,  Bengaluru",
Dr. Geetanjali Pinto,Professor & I/c Director ,"SASMIRA'S Business School, Mumbai",
Dr. Brijesh Sharma,"Dean,Academics",Vivekanand Business School,
Mr. Subramaniyan Neelakandan,Founder -,Impactsure Technologies Private Limited. Mumbai,
Dr. Sunitha Joshi,Professor,"JVM�s Mehta Degree College, Navi Mumbai",
Dr.�Baisakhi�Mitra Mustaphi�,"Associate Professor & 
HOD Marketing","N.L. Dalmia Institute of Management Studies & Research, Mumbai",
Dr. Sneha Chavan,Associate Professor,"IBS - ICFAI School, Mumbai",
Dr. Nirja Kashive,Associate Dean-Academics,"Vivekanand Business School, Mumbai",
Dr. Vijay Vasanth,Associate Professor,"SRM University, Chennai, Tamilnadu.",
Dr. Geeta Kohade,Head of Research Department,"Indira Institute of Business Management, Navi Mumbai",
Dr. Sanjeev Kadam,Assistant Professor,"Symbiosis Institute of Business Management, Pune",
Dr. Jaymin Arvind Shah�,Assistant Professor,"Vijay Patil School of Management, D.Y. Patil
 Deemed to be University, Navi Mumbai",
